time,AURKA_obs,AURKA_obs_std,BAX_obs,BAX_obs_std,CD44_obs,CD44_obs_std,CTNNB1_obs,CTNNB1_obs_std,DYRK2_obs,DYRK2_obs_std,EGFR_obs,EGFR_obs_std,EP300_obs,EP300_obs_std,FBXW7_obs,FBXW7_obs_std,FOS_obs,FOS_obs_std,GSK3B_obs,GSK3B_obs_std,KRAS_obs,KRAS_obs_std,MET_obs,MET_obs_std,MYC_obs,MYC_obs_std,NFE2L2_obs,NFE2L2_obs_std,PIK3CA_obs,PIK3CA_obs_std,STK11_obs,STK11_obs_std,TGFBR1_obs,TGFBR1_obs_std,TPX2_obs,TPX2_obs_std
0,0.5042090283370216,0.18693875598181564,0.4713316370615671,0.15821740992388467,0.4360059534129986,0.15046261230306537,0.3926533918829953,0.1261727756899284,0.557079989040682,0.17405700200636492,0.49352300453203696,0.14677701914882707,0.5556102961504061,0.18685973978724216,0.3744315925524846,0.12256099017237126,0.5093121901618048,0.17705625327318136,0.39298077891136246,0.12725343366087571,0.44537183062312613,0.15035394462255453,0.48865725266847077,0.15620690082182515,0.482836053833424,0.17433596248887084,0.4392626138239038,0.14639832474018255,0.5861274715670657,0.16504674363224955,0.47317794949346703,0.14916766904061984,0.5018957453379093,0.15771368322888824,0.42998443010012954,0.1449947482978345
4,0.4898963591652213,0.17841625245148474,0.4471391024313032,0.14186571378182022,0.4652723525598111,0.15252700497399416,0.46421368503807975,0.14897345710768928,0.5799247013551996,0.15545713867607336,0.47752629578400485,0.14191389473945545,0.642062879442808,0.1676502685215793,0.39385880341869994,0.11216439320954469,0.5043105079923216,0.1801895489184611,0.40323267254513434,0.11867870866768486,0.4502744151568235,0.147564027431069,0.397368562619194,0.12720119995392262,0.37611901809012604,0.1300176397196936,0.42479927190940797,0.1396036642776706,0.5746744893605965,0.17015622364160735,0.4061978665346183,0.13188559524634236,0.5383323134234769,0.15422298716935148,0.47454922005600175,0.1620143658492962
24,0.501571289245363,0.16722117308093518,0.5022801876184235,0.1363547447092986,0.6534914631753896,0.13427659014950613,0.5319001291468762,0.12449927936672235,0.5244942583666962,0.14026755536307944,0.590329388778463,0.136379410914235,0.5879310175328589,0.12742171857487897,0.49556037191549757,0.10351870471568965,0.5499013670306802,0.16256764254370082,0.6010310705125563,0.12930400404677192,0.45044899038590824,0.12898893564057842,0.4275460729061898,0.1034956579659418,0.5088891635449334,0.1561386213294641,0.4270010665602874,0.11888498722616801,0.4342774792891956,0.11842256350413709,0.5469080801262791,0.12953153474575532,0.7169112705403021,0.10308655267610742,0.6433008275420518,0.1239057463538919
72,0.5415042473919008,0.1801513791776228,0.498290018601953,0.15113055848165807,0.5171280879856526,0.13944184710619853,0.46502442946113987,0.14914626634072797,0.4266213060328547,0.1292194718934758,0.6458608791543283,0.18373752040788818,0.5908304135336342,0.16671197258588147,0.5437187862187243,0.179185936931304,0.5534536996357851,0.14715691347150447,0.4584416772676223,0.15048043552621057,0.48443166465706,0.1490300165930129,0.48335930258126747,0.16174981677501923,0.42937872464899607,0.14634447654797242,0.4816463089880291,0.1550134991365681,0.6174374470230919,0.17294667623225848,0.5329782061312014,0.17370747697300212,0.5809618966312844,0.17232337668445324,0.5646617654158442,0.1780826677743668
